Content,Video title,Video publish time,Duration,Comments added,Shares,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
b47PiNClufg,University Worship Service - 5/8/16 - Luke Powery,8-May-16,5253,9,1,0,264,24.2302,1,0,
hQaLCEVa2iM,Catholic Mass - 4/5/12 - Holy Thursday,6-Apr-12,5308,9,39,31,17105,1252.0488,14,25113,5.3
jGZYaL5B30M,Sunday Morning Worship Service - 3/1/20 - Rev. Bruce Puckett,1-Mar-20,5230,9,34,15,1759,420.683,2,14551,4.58
lG6rmDJ2-hs,University Worship Service - 8/13/17 - Rev. Dr. Frank Thomas,13-Aug-17,5229,9,61,33,3640,742.2782,10,9067,3.88
sEzT7hFdhLU,Sunday Service - 11/13/11 - Barbara Brown Taylor,16-Nov-11,5030,9,112,47,21093,2754.3423,32,50435,5.16
AYbbA5N1smA,"Praise to The Lord, The Almighty (Dan Forrest)",12-Apr-21,397,8,182,138,12007,513.9966,29,114112,3.87
GqAMk_Go_lc,Duke Divinity School's 92nd Baccalaureate,13-May-18,7636,8,41,20,1863,371.5439,8,12846,4.93
HWIHMRGuYvc,Sunday Morning Worship Service - 5/1/22,1-May-22,5383,8,261,83,4766,1277.2152,36,46826,4.96
He6LjfOU90U,Easter Sunday Morning Worship Service - 4/4/21 - Rev. Dr. Luke A. Powery,4-Apr-21,4560,8,63,36,4443,1102.687,11,45588,5.16
KkL3-UpbfVM,Christmas Eve Worship Service - 12/24/19 - Rev. Dr. Luke A. Powery,24-Dec-19,4277,8,55,14,1759,250.5455,0,13951,4.54
Kx-a3D7fOqk,Sunday Morning Worship Service - 10/3/21 - Rev. Dr. James Forbes,3-Oct-21,5901,8,35,22,1624,553.094,5,15255,5.26
OqYaNuguhmc,"Robert Parkins Performs His Arrangement of ""Im Abendrot” by Richard Strauss",14-Jun-17,533,8,48,37,3228,129.5441,6,26951,4.25
W3hfqWDXz-0,Peace in an Age of Terror,24-Oct-16,4360,8,42,13,1489,318.4913,5,7070,2.22
YiEnt0KtyiQ,Dr David Arcus performs Tournemire's Improvisation on the Te Deum,5-Mar-09,432,8,2,18,4095,48.3354,1,5305,3.45
ZNTq1_BTPPw,Iain Quinn Organ Recital,11-Apr-09,4157,8,10,18,7698,195.8644,2,91,2.2
_VGogH9cCfE,Sunday Morning Worship Service - 12/3/23 - Beth Moore,4-Dec-23,4747,8,310,90,5700,1387.325,33,33148,6.78
a3zAUER0Ey4,Bach Cantata Series—Magnificat: Music of Celebration by Johann Sebastian Bach,18-Sep-22,4500,8,69,60,1861,376.2836,24,37463,2.59
bD69wA04lt8,Sunday Morning Worship Service - 10/9/22 - Bishop Peter Storey,9-Oct-22,4909,8,145,30,2628,732.1779,10,25108,4.3
etAKMUk3Wuw,Sunday Morning Worship Service - 3/10/19 - Rev. Dr. Sam Miglarese,10-Mar-19,4781,8,0,5,1150,209.9314,-2,11356,3.9
g1V3sHENyVE,The Ordination of The Reverend Kori Jones - 8/28/10,8-Sep-10,6321,8,18,6,2914,192.383,3,6033,5.8
rMc3CYCMaM0,Last Words: Bach's final musical expression,7-May-17,4801,8,22,49,4121,456.0028,2,19554,4.28
3JdCkQljPpI,Catholic Mass - 2/13/13 - Ash Wednesday,13-Feb-13,3647,7,30,21,13964,1079.6529,12,19313,5.89
8cBb1MWtX64,Duke Chapel Virtual Tower Climb,22-Apr-21,278,7,145,57,5184,194.1435,11,35798,4.29
APgmRPXtmx0,2019 Martin Luther King Jr. Commemoration,20-Jan-19,6597,7,82,27,2094,374.847,14,24767,2.05
